CodMun;Reeleito;sexo;idade;instrução;partido
1702901;Não;Masculino;43;Ensino médio (2º Grau) completo;PMDB
1703008;Não;Masculino;61;Ensino superior completo ;PMDB
1703057;Não;Masculino;60;Ensino médio (2º Grau) completo;PP
1703073;Não;Feminino;49;Ensino superior completo ;PMDB
1703107;Não;Masculino;37;Ensino superior completo ;PMDB
1703206;Não;Feminino;74;Ensino fundamental (1º Grau) completo;PMDB
1703305;Não;Masculino;47;Ensino médio (2º Grau) completo;PRB
1703602;Não;Masculino;40;Ensino médio (2º Grau) completo;PSC
1703701;Sim;Feminino;60;Ensino superior completo ;PSB
1703800;Não;Masculino;66;Ensino fundamental (1º Grau) incompleto;PV
1703826;Não;Masculino;39;Ensino superior completo ;PV
1703842;Sim;Masculino;53;Ensino médio (2º Grau) completo;PSC
1703867;Não;Masculino;36;Ensino médio (2º Grau) completo;PV
1703883;Não;Masculino;33;Pós-graduação;PMN
1703891;Sim;Masculino;40;Ensino superior completo ;PP
1703909;Não;Feminino;44;Ensino superior completo ;PSD
1704105;Sim;Masculino;53;Ensino médio (2º Grau) completo;PSDB
1704600;Não;Feminino;63;Ensino médio (2º Grau) completo;PPS
1705102;Não;Masculino;58;Pós-graduação;PR
1705508;Não;Masculino;47;Ensino superior completo ;PRB
1705557;Não;Masculino;49;Ensino médio (2º Grau) incompleto;PV
1705607;Sim;Masculino;48;Ensino superior incompleto ;PSD
1706001;Sim;Masculino;39;Ensino superior completo ;PT
1706100;Não;Masculino;32;Ensino superior completo ;PSB
1706258;Não;Masculino;50;Ensino médio (2º Grau) completo;PPS
1706506;Não;Masculino;31;Ensino médio (2º Grau) incompleto;PTB
1707009;Não;Masculino;33;Pós-graduação;PSB
1707108;Sim;Masculino;38;Ensino superior completo ;PSD
1707207;Não;Masculino;51;Ensino médio (2º Grau) completo;PV
1707306;Não;Masculino;54;Ensino superior completo ;PSD
1707405;Não;Masculino;57;Ensino superior completo ;PP
1707553;Não;Masculino;48;Ensino superior completo ;PSD
1707652;Sim;Masculino;55;Ensino médio (2º Grau) completo;PMDB
1707702;Não;Masculino;72;Ensino médio (2º Grau) completo;PMDB
1708205;Sim;Masculino;46;Ensino médio (2º Grau) completo;PRTB
1708254;Não;Masculino;38;Ensino médio (2º Grau) completo;SD
1708304;Sim;Masculino;36;Ensino superior completo ;PSD
1709005;Não;Masculino;56;Ensino superior completo ;PR
1709302;Não;Feminino;65;Pós-graduação;PSDB
1709500;Sim;Masculino;59;Pós-graduação;PSB
1709807;Não;Masculino;44;Ensino superior incompleto ;PSDB
1710508;Não;Masculino;42;Ensino médio (2º Grau) incompleto;PSD
1710706;Não;Feminino;Não informou;Ensino superior completo ;PR
1710904;Sim;Masculino;43;Ensino superior completo ;PSD
1711100;Não;Masculino;52;Ensino médio (2º Grau) completo;PP
1711506;Sim;Masculino;38;Ensino superior incompleto ;PSD
1711803;Não;Masculino;59;Ensino médio (2º Grau) completo;PMDB
1711902;Não;Masculino;71;Ensino fundamental (1º Grau) completo;PRB
1711951;Não;Masculino;57;Ensino médio (2º Grau) incompleto;PSB
1712009;Não;Masculino;29;Ensino superior completo ;PSD
1712157;Não;Masculino;37;Pós-graduação;PMDB
1712405;Não;Feminino;49;Pós-graduação;PSD
1712454;Não;Masculino;29;Ensino médio (2º Grau) completo;PR
1712504;Não;Masculino;64;Ensino superior completo ;PTB
1712702;Não;Masculino;46;Ensino superior completo ;PTN
1712801;Sim;Feminino;45;Ensino médio (2º Grau) completo;PR
1713205;Não;Masculino;43;Ensino superior completo ;PMDB
1713304;Não;Masculino;48;Ensino superior completo ;PMDB
1713601;Não;Masculino;42;Ensino médio (2º Grau) completo;PSD
1713700;Não;Masculino;57;Ensino superior completo ;PRB
1713809;Não;Feminino;42;Ensino superior completo ;PP
1713957;Não;Masculino;43;Pós-graduação;PP
1714203;Não;Feminino;48;Ensino superior completo ;PTN
1714302;Não;Feminino;39;Ensino superior completo ;PV
1714880;Sim;Masculino;48;Ensino fundamental (1º Grau) completo;PTB
1715002;Não;Masculino;39;Ensino superior completo ;PSB
1715101;Não;Masculino;58;Ensino médio (2º Grau) completo;PMDB
1715150;Não;Masculino;38;Ensino superior completo ;PMDB
1715259;Não;Masculino;75;Ensino fundamental (1º Grau) incompleto;PMDB
1715507;Sim;Masculino;44;Ensino médio (2º Grau) completo;PMDB
1715705;Não;Masculino;45;Ensino superior completo ;PSD
1715754;Sim;Masculino;39;Ensino superior completo ;PSD
1716109;Sim;Masculino;76;Pós-graduação;PMDB
1716208;Não;Masculino;36;Ensino superior completo ;PMDB
1716307;Não;Masculino;59;Ensino fundamental (1º Grau) completo;PP
1716505;Sim;Masculino;41;Ensino superior incompleto ;PDT
1716604;Não;Masculino;40;Pós-graduação;PR
1716653;Sim;Masculino;45;Ensino superior completo ;PMDB
1716703;Não;Feminino;52;Ensino superior completo ;PROS
1717008;Sim;Masculino;57;Ensino médio (2º Grau) completo;PSDB
1717206;Sim;Masculino;45;Ensino superior completo ;PMDB
1717503;Não;Masculino;68;Pós-graduação;PSDB
1717800;Não;Masculino;34;Ensino superior completo ;PV
1717909;Não;Masculino;39;Ensino médio (2º Grau) completo;PR
1718006;Não;Masculino;27;Ensino superior completo ;PR
1718204;Não;Masculino;43;Pós-graduação;PV
1718303;Não;Masculino;39;Ensino superior completo ;PMDB
1718402;Sim;Masculino;54;Ensino superior completo ;PSD
1718451;Não;Feminino;60;Ensino médio (2º Grau) completo;PPS
1718501;Não;Feminino;50;Ensino superior completo ;PV
1718550;Sim;Feminino;48;Ensino superior completo ;PR
1718659;Não;Masculino;41;Ensino superior completo ;PR
1718709;Não;Masculino;35;Ensino médio (2º Grau) completo;PV
1718758;Não;Masculino;38;Ensino superior completo ;DEM
1718808;Não;Masculino;60;Ensino fundamental (1º Grau) completo;PR
1718840;Sim;Feminino;43;Ensino superior completo ;PR
1718865;Não;Masculino;51;Ensino médio (2º Grau) completo;PP
1718881;Não;Masculino;46;Ensino médio (2º Grau) completo;SD
1718899;Sim;Masculino;29;Ensino superior incompleto ;PSD
1718907;Sim;Masculino;53;Ensino superior completo ;PR
1719004;Não;Masculino;58;Ensino fundamental (1º Grau) incompleto;PV
1720002;Não;Feminino;42;Ensino superior completo ;PMDB
1720101;Não;Masculino;44;Ensino superior completo ;PSB
1720150;Sim;Masculino;41;Pós-graduação;PSD
1720200;Não;Feminino;37;Ensino superior incompleto ;PR
1720259;Não;Masculino;35;Ensino superior completo ;PMDB
1720309;Não;Masculino;38;Ensino superior completo ;PT
1720499;Não;Masculino;52;Ensino superior completo ;PSD
1720655;Não;Masculino;43;Ensino médio (2º Grau) completo;PSD
1720804;Não;Masculino;29;Ensino fundamental (1º Grau) completo;SD
1720853;Sim;Masculino;42;Pós-graduação;PTB
